INNOVACION,DESCRIPCION,INDEX,PINDEX,ENTIDAD,SECTOR
Mesas de trabajo para el plan de acción de la Política de Atención al Pensionado,"Se realizaron mesas de trabajo con las Secretarías de Integración Social, Secretaria de Salud, Secretaria de la Mujer y con el Instituto Distrital de Deporte y Recreación, con el objetivo de formular el plan de acción de la Política de Atención al Pensionado. En dichas mesas se definieron acciones de corresponsabilidad entre las entidades mencionadas y FONCEP.",325,57,"Fondo De Prestaciones Económicas, Cesantías Y Pensiones - Foncep",Hacienda
Conocimiento transferido,"Se estableció en los contratos financiados por el proyecto de inversión, la entrega de un producto o productos de conocimiento que demuestren el cumplimiento de las metas institucionales a través del desarrollo de las actividades. estos productos de conocimiento fueron transferidos a una carpetas DRIVE de la OAP y se publican en el repositorio conocimiento FONCEP para su consulta.",326,57,"Fondo De Prestaciones Económicas, Cesantías Y Pensiones - Foncep",Hacienda
Repositorio Conocimiento FONCEP,"Con el objetivo de contar con una herramienta para uso y apropiación del conocimiento crítico de la entidad, se crea en la intranet el repositorio Conocimiento FONCEP con el cual se busca conservar el conocimiento de la entidad, usarlo para la toma de decisiones y compartirlo para el mejoramiento de los productos y/o servicios.
Esta iniciativa nace de la implementación de la estrategia de gestión del conocimiento y la innovación de la entidad",327,57,"Fondo De Prestaciones Económicas, Cesantías Y Pensiones - Foncep",Hacienda
Páginas web para la transformación digital,"Las páginas web permiten a los ciudadanos y colaboradores conocer, indagar, colaborar y generar interacciones conforme a las actividades y potencialidades que tiene el territorio en materia de participación, reconocimiento y memoria, además de apertura digital con desarrollos en realidad virtual.",328,58,Alcaldía Local De Usme,Sector descentralizado territorialmente
Geo Kennedy,"Diseñar, ejecutar e implementar un Sistema de Información Geográfica, llamado Geo Kennedy en la 
Alcaldía Local de Kennedy, durante el actual periodo de gobierno, que reúna información primaria y 
secundaria de la localidad la cual ayude a tomar decisiones en la distribución de los recursos del Fondo.",329,59,Alcaldía Local De Kennedy,Sector descentralizado territorialmente
LA ESTRATEGIA DE PRESPUPUESTOS PARTICIPATIVOS,PERMITE QUE LA COMUNIDAD TENGA INICIDENCIA EN LA EJECUCIÓN DEL PRESUPUESTO LOCAL,330,60,Alcaldía Local De Rafael Uribe Uribe,Sector descentralizado territorialmente
Laboratorios Cívicos de presupuestos participativos,"Estrategia para promover la participación de la ciudadanía, en el diseño de propuestas para ser realizadas en la localidad",331,61,Alcaldía Local De Fontibón,Sector descentralizado territorialmente
Herramienta de Seguimiento a los Planes de Acción derivados de los hallazgos (OCI y Contraloría),"Se crea un repositorio de trabajo en la herramienta Microsoft Planner, donde se asocian de manera individual cada una de las acciones definidas dentro de los diferentes planes de acción derivadas de los hallazgos identificados por la Oficina de Control Interno y Contraloría.",332,65,Alcaldía Local De Tunjuelito,Sector descentralizado territorialmente
Laboratorios Cívicos de presupuestos participativos,Se llevaron a cabo Laboratorios cívicos de innovación con la intención de hacer una creación colectiva junto con la ciudadanía de posibles proyectos para Presupuestos Participativos,333,66,Alcaldía Local De Teusaquillo,Sector descentralizado territorialmente
Cultured-Bogotá,"Desarrollo e integración de un Sistema Único de Información Misional para el Sector Cultura, Recreación y Deporte.",334,68,"Secretaría Distrital De Cultura, Recreación Y Deporte","Cultura, Recreación y Deporte"
Nombre de la innovación diseñada: SOMOS - Construcción cultural de equidad e igualdad en Bogotá,"Esta estrategia se construye desde un enfoque de cultura ciudadana y su objetivo es generar la transformación de comportamientos que representan expresiones de homofobia, lesbofobia, bifobia, transfobia, xenofobia, discriminación racial y clasismo, entendiendo las anteriores como formas de violencia que atacan a grupos poblacionales y sectores sociales que hacen parte de la ciudadanía y que, con ocasión de su identidad, han sido expuestas a dinámicas de exclusión y marginación social. ",335,68,"Secretaría Distrital De Cultura, Recreación Y Deporte","Cultura, Recreación y Deporte"
